date,ticker,type,price,shares,amount,commission,reason
2023-03-29,7203,BUY,1727.7750952148435,1100,1901502.881038696,950.276302368164,Entry 3 days before record date
2023-03-29,6758,BUY,2289.088205566406,800,1832186.1997353514,915.6352822265624,Entry 3 days before record date
2023-03-29,9432,BUY,150.5229487609863,13300,2002956.1961303784,1000.977609260559,Entry 3 days before record date
2023-03-30,7203,SELL,1734.1192071533203,2200,3813962.2557373047,1100.0,Window filled (reached pre-ex price 1728)
2023-03-30,6758,SELL,2321.7076391601563,1600,3713632.22265625,1100.0,Window filled (reached pre-ex price 2289)
2023-03-30,9432,BUY,149.51020068359372,13400,2004438.407504736,1001.7183445800779,Add position on ex-dividend drop (0.3%)
2023-04-04,9432,SELL,149.6618338623047,40000,5985373.3544921875,1100.0,Window filled (reached pre-ex price 150)
