date,ticker,type,price,shares,amount,commission,reason
2023-03-29,7203,BUY,1720.8983784179686,1100,1893934.7103678954,946.4941081298828,Entry 3 days before record date
2023-03-29,6758,BUY,2279.977406738281,800,1824893.91635332,911.9909626953123,Entry 3 days before record date
2023-03-29,9432,BUY,149.92385244750974,13300,1994984.2311706555,996.9936187759398,Entry 3 days before record date
2023-03-30,7203,SELL,1741.0905406494142,2200,3828483.989833997,1915.1995947143557,Window filled (reached pre-ex price 1721)
2023-03-30,6758,SELL,2331.041137207031,1600,3727800.986621484,1864.832909765625,Window filled (reached pre-ex price 2280)
2023-03-30,9432,BUY,149.51020068359372,13300,1989479.9119263424,994.2428345458983,Add position on ex-dividend drop (0.3%)
2023-04-04,9432,SELL,149.6618338623047,39900,5968521.417520404,2985.753585552978,Window filled (reached pre-ex price 150)
