date,ticker,type,price,shares,amount,commission,reason
2010-02-16,8905,BUY,1125.2910900878906,800,900782.8720703125,550.0,Entry 3 days before record date
2010-02-16,8570,BUY,558.9321240234375,1700,950734.6108398438,550.0,Entry 3 days before record date
2010-02-17,8905,SELL,1135.3344744873048,1600,1815536.0648421387,999.0943375488282,Window filled (reached pre-ex price 1125)
2010-02-17,8570,SELL,572.9982363891602,3400,1947122.4970210968,1071.5067020477295,Window filled (reached pre-ex price 559)
2010-02-23,3382,BUY,487.99291946411125,2000,976535.8389282225,550.0,Entry 3 days before record date
2010-02-23,8267,BUY,744.6931613159179,1300,968651.1097106932,550.0,Entry 3 days before record date
2010-02-23,9983,BUY,4364.253229980468,200,873400.6459960936,550.0,Entry 3 days before record date
2010-02-24,3382,BUY,477.90534942626954,2000,956360.6988525391,550.0,Add position on ex-dividend drop (1.8%)
2010-02-24,8267,BUY,723.1225576171875,1300,940609.3249023437,550.0,Add position on ex-dividend drop (2.6%)
2010-02-26,3382,SELL,492.207947265625,6000,2952147.68359375,1100.0,Window filled (reached pre-ex price 486)
2010-03-01,9983,SELL,4361.07872265625,400,1743472.0517435155,959.437318984375,Window filled (reached pre-ex price 4343)
2010-03-08,8267,SELL,748.3386412353516,3900,2917420.7008178714,1100.0,Window filled (reached pre-ex price 741)
2010-03-16,6861,BUY,4473.959677734375,200,895341.935546875,550.0,Entry 3 days before record date
2010-03-17,6861,SELL,4493.543889160156,400,1796428.9760084474,988.5796556152344,Window filled (reached pre-ex price 4474)
2010-03-26,6971,BUY,833.0301053466796,1200,1000186.1264160156,550.0,Entry 3 days before record date
2010-03-26,6954,BUY,1486.7848952636718,600,892620.9371582031,550.0,Entry 3 days before record date
2010-03-26,6857,BUY,475.09765173339844,2100,998255.0686401367,550.0,Entry 3 days before record date
2010-03-26,6841,BUY,653.7475733642578,1500,981171.3600463867,550.0,Entry 3 days before record date
2010-03-26,6724,BUY,470.43025451660156,2100,988453.5344848633,550.0,Entry 3 days before record date
2010-03-26,6753,BUY,9974.764201171874,100,998026.4201171874,550.0,Entry 3 days before record date
2010-03-26,6503,BUY,604.414974243164,1600,967613.9587890625,550.0,Entry 3 days before record date
2010-03-26,6479,BUY,452.5602352294922,2200,996182.5175048829,550.0,Entry 3 days before record date
2010-03-26,6902,BUY,480.2471819458008,2000,961044.3638916016,550.0,Entry 3 days before record date
2010-03-26,6981,BUY,453.57844189453124,2200,998422.5721679687,550.0,Entry 3 days before record date
2010-03-29,6971,SELL,829.0448220825195,2400,1988613.2338328979,1094.3391651489258,Window filled (reached pre-ex price 833)
2010-03-29,6954,SELL,1484.3578100585937,1200,1780249.6959156739,979.676154638672,Window filled (reached pre-ex price 1487)
2010-03-29,6857,SELL,475.43257736206056,4200,1995718.575666948,1098.24925370636,Window filled (reached pre-ex price 475)
2010-03-29,6841,BUY,651.1068654785156,1500,977210.2982177734,550.0,Add position on ex-dividend drop (0.4%)
2010-03-29,6724,SELL,470.04145553588864,4200,1973088.3174884445,1085.7957622879028,Window filled (reached pre-ex price 470)
2010-03-29,6753,SELL,10159.95666015625,200,2030891.3320312498,1100.0,Window filled (reached pre-ex price 9975)
2010-03-29,6503,SELL,613.2248037719727,3200,1961240.0964156738,1079.275654638672,Window filled (reached pre-ex price 604)
2010-03-29,6479,SELL,455.7282189941406,4400,2004104.1635742188,1100.0,Window filled (reached pre-ex price 453)
2010-03-29,6981,BUY,450.625037109375,2200,991925.081640625,550.0,Add position on ex-dividend drop (0.7%)
2010-03-30,6841,SELL,671.961322631836,4500,3022725.9518432617,1100.0,Window filled (reached pre-ex price 652)
2010-03-30,6902,SELL,487.54420028686525,4000,1949104.20390683,1072.5972406311037,Window filled (reached pre-ex price 479)
2010-03-30,6981,SELL,450.8288278198242,6600,2974370.26361084,1100.0,Window filled (reached pre-ex price 453)
2010-05-11,3391,BUY,1285.3732855224607,700,900311.2998657225,550.0,Entry 3 days before record date
2010-05-12,3391,BUY,1271.5030180664062,700,890602.1126464843,550.0,Add position on ex-dividend drop (0.8%)
2010-05-13,3391,SELL,1276.0322357177733,2100,2678567.695007324,1100.0,Window filled (reached pre-ex price 1279)
2010-05-26,1377,BUY,958.6567657470703,1000,959206.7657470703,550.0,Entry 3 days before record date
2010-05-27,1377,BUY,951.6214899902344,1000,952171.4899902344,550.0,Add position on ex-dividend drop (0.4%)
2010-05-28,1377,SELL,953.262470703125,3000,2858687.412109375,1100.0,Window filled (reached pre-ex price 954)
2010-06-25,7751,BUY,2022.5028742675781,400,809551.1497070312,550.0,Entry 3 days before record date
2010-06-25,7267,BUY,561.9640308837891,1700,955888.8525024414,550.0,Entry 3 days before record date
2010-06-25,4519,BUY,422.27349481201173,2300,971779.038067627,550.0,Entry 3 days before record date
2010-06-25,4151,BUY,645.9626253662109,1500,969493.9380493163,550.0,Entry 3 days before record date
2010-06-25,7532,BUY,275.5530884399414,3600,992541.1183837891,550.0,Entry 3 days before record date
2010-06-25,2503,BUY,780.8864754638672,1200,937613.7705566407,550.0,Entry 3 days before record date
2010-06-25,8804,BUY,444.7813112182617,2200,979068.8846801757,550.0,Entry 3 days before record date
2010-06-25,5201,BUY,2678.7183251953124,300,804165.4975585938,550.0,Entry 3 days before record date
2010-06-25,5301,BUY,327.5517451171875,3000,983205.2353515626,550.0,Entry 3 days before record date
2010-06-25,5015,BUY,148.73714236450195,6700,997088.8538421631,550.0,Entry 3 days before record date
2010-06-28,7751,SELL,2017.0423315429687,800,1612746.366608496,887.4986258789063,Window filled (reached pre-ex price 2023)
2010-06-28,7267,SELL,561.8072799682617,3400,1909094.1722785493,1050.5796135406495,Window filled (reached pre-ex price 562)
2010-06-28,4519,SELL,420.3691595458984,4600,1932634.5999374818,1063.533973651123,Window filled (reached pre-ex price 422)
