date,cash,positions_value,total_value,daily_return,total_return,position_count
2010-01-04,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-05,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-06,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-07,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-08,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-12,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-13,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-14,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-15,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-18,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-19,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-20,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-21,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-22,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-25,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-26,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-27,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-28,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-29,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-01,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-02,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-03,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-04,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-05,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-08,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-09,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-10,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-12,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-15,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-16,96143253.79258151,7700014.501953125,103843268.29453464,0.03843268294534639,0.03843268294534639,2
2010-02-17,104040091.33140947,0.0,104040091.33140947,0.0018953856143719785,0.04040091331409469,0
2010-02-18,104040091.33140947,0.0,104040091.33140947,0.0,0.04040091331409469,0
2010-02-19,104040091.33140947,0.0,104040091.33140947,0.0,0.04040091331409469,0
2010-02-22,104040091.33140947,0.0,104040091.33140947,0.0,0.04040091331409469,0
2010-02-23,98375791.53781594,11308804.93774414,109684596.47556008,0.054253173674853855,0.09684596475560084,3
2010-02-24,96024617.95824705,13485981.845092773,109510599.80333982,-0.0015863364393105994,0.09510599803339824,3
2010-02-25,96024617.95824705,13507562.854003906,109532180.81225096,0.00019706776284568063,0.09532180812250957,3
2010-02-26,101292564.26778014,8445745.654296875,109738309.92207702,0.0018819045535063703,0.09738309922077015,2
2010-03-01,104802702.52052252,5011366.748046875,109814069.2685694,0.0006903637074980935,0.09814069268569395,1
2010-03-02,104802702.52052252,4962127.34375,109764829.86427252,-0.00044838885058026104,0.0976482986427252,1
2010-03-03,104802702.52052252,4956655.8837890625,109759358.40431158,-4.9847113758597566e-05,0.09759358404311583,1
2010-03-04,104802702.52052252,4912888.76953125,109715591.29005377,-0.0003987551940363131,0.0971559129005377,1
2010-03-05,104802702.52052252,4973068.603515625,109775771.12403814,0.0005485075847176388,0.09775771124038145,1
2010-03-08,109892681.918151,0.0,109892681.918151,0.00106499633676689,0.09892681918151006,0
2010-03-09,109892681.918151,0.0,109892681.918151,0.0,0.09892681918151006,0
2010-03-10,109892681.918151,0.0,109892681.918151,0.0,0.09892681918151006,0
2010-03-11,109892681.918151,0.0,109892681.918151,0.0,0.09892681918151006,0
2010-03-12,109892681.918151,0.0,109892681.918151,0.0,0.09892681918151006,0
2010-03-15,109892681.918151,0.0,109892681.918151,0.0,0.09892681918151006,0
2010-03-16,108108884.59082551,3561360.9375,111670245.52832551,0.01617545025881206,0.11670245528325512,1
2010-03-17,111715462.98072146,0.0,111715462.98072146,0.0004049194320476016,0.11715462980721458,0
2010-03-18,111715462.98072146,0.0,111715462.98072146,0.0,0.11715462980721458,0
2010-03-19,111715462.98072146,0.0,111715462.98072146,0.0,0.11715462980721458,0
2010-03-23,111715462.98072146,0.0,111715462.98072146,0.0,0.11715462980721458,0
2010-03-24,111715462.98072146,0.0,111715462.98072146,0.0,0.11715462980721458,0
2010-03-25,111715462.98072146,0.0,111715462.98072146,0.0,0.11715462980721458,0
2010-03-26,13213894.993199676,196658909.1369629,209872804.13016257,0.8786370170294147,1.0987280413016256,50
2010-03-29,107702764.38830008,103005913.32397461,210708677.71227467,0.003982762728960809,1.1070867771227466,21
2010-03-30,157015280.4183994,54425381.19812012,211440661.6165195,0.0034739143740647135,1.114406616165195,11
2010-03-31,172346893.3574957,39098848.29406738,211445741.65156308,2.4025818897506345e-05,1.1144574165156307,8
2010-04-01,183789223.68587333,28876019.732666016,212665243.41853935,0.0057674453855205,1.1266524341853934,6
2010-04-02,183789223.68587333,28657331.25,212446554.93587333,-0.001028322631148627,1.1244655493587332,6
2010-04-05,183789223.68587333,28628667.770385742,212417891.45625907,-0.00013492089633041987,1.1241789145625907,6
2010-04-06,183789223.68587333,28620208.563232422,212409432.24910575,-3.982342115971067e-05,1.1240943224910576,6
2010-04-07,188931958.34928527,23737273.858642578,212669232.20792785,0.0012231093321572357,1.1266923220792786,5
2010-04-08,188931958.34928527,23670913.513183594,212602871.86246887,-0.0003120354776759786,1.1260287186246887,5
2010-04-09,188931958.34928527,23656340.817260742,212588299.16654602,-6.854421012844325e-05,1.1258829916654602,5
2010-04-12,198413695.58686146,14370521.130371094,212784216.71723256,0.0009215820035939627,1.1278421671723255,3
2010-04-13,198413695.58686146,14292796.188354492,212706491.77521595,-0.00036527588002398546,1.1270649177521594,3
2010-04-14,198413695.58686146,14235345.785522461,212649041.37238392,-0.0002700923810672582,1.1264904137238392,3
2010-04-15,198413695.58686146,14252831.869506836,212666527.4563683,8.222978044727675e-05,1.126665274563683,3
2010-04-16,198413695.58686146,14117086.428833008,212530782.01569447,-0.0006383018630032332,1.1253078201569446,3
2010-04-19,198413695.58686146,13896062.341308594,212309757.92817006,-0.0010399627076518845,1.1230975792817006,3
2010-04-20,198413695.58686146,13933105.187988281,212346800.77484974,0.00017447547885302597,1.1234680077484975,3
2010-04-21,198413695.58686146,13990172.152709961,212403867.73957142,0.00026874416997780675,1.1240386773957143,3
2010-04-22,198413695.58686146,13806252.963256836,212219948.5501183,-0.0008658937872008456,1.122199485501183,3
2010-04-23,212015942.59530836,0.0,212015942.59530836,-0.000961294902782221,1.1201594259530836,0
2010-04-26,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-04-27,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-04-28,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-04-30,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-05-06,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-05-07,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-05-10,212015942.59530836,0.0,212015942.59530836,0.0,1.1201594259530836,0
2010-05-11,210094116.9672679,3836935.1806640625,213931052.14793196,0.009032856346464101,1.1393105214793195,1
2010-05-12,208950049.3398772,4948963.8427734375,213899013.18265063,-0.00014976304262357743,1.1389901318265063,1
2010-05-13,213942831.91825676,0.0,213942831.91825676,0.00020485711904017368,1.1394283191825676,0
2010-05-14,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-17,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-18,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-19,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-20,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-21,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-24,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-25,213942831.91825676,0.0,213942831.91825676,0.0,1.1394283191825676,0
2010-05-26,212031717.93898627,3815549.31640625,215847267.25539252,0.008901608528129646,1.1584726725539252,1
2010-05-27,210890056.64023682,4938554.638671875,215828611.2789087,-8.64313767834176e-05,1.158286112789087,1
2010-05-28,215863214.44730684,0.0,215863214.44730684,0.0001603270678206109,1.1586321444730685,0
2010-05-31,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-01,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-02,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-03,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-04,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-07,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-08,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-09,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-10,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-11,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-14,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-15,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-16,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-17,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-18,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-21,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-22,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-23,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-24,215863214.44730684,0.0,215863214.44730684,0.0,1.1586321444730685,0
2010-06-25,190376453.3133036,50884455.3894043,241260908.7027079,0.1176564257158356,1.4126090870270789,13
2010-06-28,207010342.3390652,34193167.58880615,241203509.92787135,-0.00023791162499213443,1.4120350992787134,7
2010-06-29,207010342.3390652,33513158.06121826,240523500.40028346,-0.002819235623027369,1.4052350040028345,7
2010-06-30,207010342.3390652,32869186.83166504,239879529.17073023,-0.002677373431209484,1.3987952917073023,7
2010-07-01,216811771.78974223,23380797.69897461,240192569.48871684,0.0013049897132481295,1.4019256948871683,5
2010-07-02,221894464.04493293,18320254.861450195,240214718.90638313,9.221524926201645e-05,1.4021471890638313,4
2010-07-05,221894464.04493293,18378569.931030273,240273033.9759632,0.00024276226638220602,1.402730339759632,4
2010-07-06,221894464.04493293,18630663.36669922,240525127.41163215,0.001049195706639991,1.4052512741163214,4
2010-07-07,221894464.04493293,18520646.78955078,240415110.8344837,-0.0004574015959677938,1.404151108344837,4
2010-07-08,227002709.81591502,13674637.805175781,240677347.6210908,0.0010907666564587378,1.406773476210908,3
2010-07-09,227002709.81591502,13486902.989196777,240489612.8051118,-0.000780026944100129,1.4048961280511179,3
2010-07-12,227002709.81591502,13462938.946533203,240465648.76244822,-9.964689278698379e-05,1.4046564876244823,3
2010-07-13,227002709.81591502,13468789.350891113,240471499.16680613,2.4329480688901505e-05,1.4047149916680612,3
2010-07-14,227002709.81591502,13606708.253479004,240609418.06939402,0.0005735353381409304,1.4060941806939402,3
2010-07-15,227002709.81591502,13438406.895446777,240441116.7113618,-0.0006994795107466943,1.404411167113618,3
2010-07-16,227002709.81591502,13253499.267578125,240256209.08349314,-0.0007690349737088653,1.4025620908349314,3
2010-07-20,227002709.81591502,13253499.267578125,240256209.08349314,0.0,1.4025620908349314,3
2010-07-21,227002709.81591502,13228387.55493164,240231097.37084666,-0.00010452055637720324,1.4023109737084667,3
2010-07-22,230377180.51704332,9794677.520751953,240171858.03779528,-0.00024659310846811505,1.4017185803779528,2
2010-07-23,230377180.51704332,9952554.711914062,240329735.22895738,0.0006573509171805825,1.4032973522895738,2
2010-07-26,240288008.93963578,0.0,240288008.93963578,-0.00017362100150382798,1.4028800893963578,0
2010-07-27,238317629.85150522,3933872.4243164062,242251502.27582163,0.008171416230258514,1.4225150227582162,1
2010-07-28,242325797.84792835,0.0,242325797.84792835,0.00030668776626255096,1.4232579784792834,0
2010-07-29,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-07-30,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-02,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-03,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-04,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-05,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-06,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-09,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-10,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-11,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-12,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-13,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-16,242325797.84792835,0.0,242325797.84792835,0.0,1.4232579784792834,0
2010-08-17,238447716.19789627,7742610.827636719,246190327.025533,0.015947658944797254,1.4619032702553298,2
2010-08-18,241118907.8993229,5151462.98828125,246270370.88760415,0.00032513000424608463,1.4627037088760415,1
2010-08-19,246377728.30921197,0.0,246377728.30921197,0.00043593316248676645,1.4637772830921196,0
2010-08-20,246377728.30921197,0.0,246377728.30921197,0.0,1.4637772830921196,0
2010-08-23,246377728.30921197,0.0,246377728.30921197,0.0,1.4637772830921196,0
2010-08-24,246377728.30921197,0.0,246377728.30921197,0.0,1.4637772830921196,0
2010-08-25,246377728.30921197,0.0,246377728.30921197,0.0,1.4637772830921196,0
2010-08-26,240699062.39019546,11337486.98425293,252036549.3744484,0.022968070629072516,1.520365493744484,3
2010-08-27,242417194.2169371,9599123.629760742,252016317.84669784,-8.027219782514124e-05,1.5201631784669785,2
2010-08-30,246957800.72917965,5149310.453796387,252107111.18297604,0.0003602676884336909,1.5210711118297604,1
2010-08-31,246957800.72917965,5162513.063049316,252120313.79222897,5.2369047390128584e-05,1.5212031379222897,1
2010-09-01,247012090.49197966,5114981.753540039,252127072.2455197,2.6806460729302126e-05,1.521270722455197,1
2010-09-02,247012090.49197966,4914290.762329102,251926381.25430876,-0.0007959914396479642,1.5192638125430875,1
2010-09-03,247012090.49197966,5030480.305480957,252042570.79746062,0.0004612043509431716,1.5204257079746062,1
2010-09-06,247012090.49197966,5078012.448120117,252090102.94009978,0.00018858775519059676,1.5209010294009977,1
2010-09-07,247012090.49197966,5025199.928283691,252037290.42026335,-0.00020949858491261275,1.5203729042026335,1
2010-09-08,247012090.49197966,5017276.029968262,252029366.52194792,-3.14393886008569e-05,1.5202936652194792,1
2010-09-09,247012090.49197966,5017276.029968262,252029366.52194792,0.0,1.5202936652194792,1
2010-09-10,247012090.49197966,5030480.305480957,252042570.79746062,5.2391813283177145e-05,1.5204257079746062,1
2010-09-13,245391089.04637232,8232489.691162109,253623578.73753443,0.006272781360194517,1.5362357873753443,2
2010-09-14,244588410.8298539,9050060.499572754,253638471.32942665,5.8719271947599224e-05,1.5363847132942665,2
2010-09-15,244588410.8298539,9050060.499572754,253638471.32942665,0.0,1.5363847132942665,2
2010-09-16,248637663.10483012,5083294.075012207,253720957.17984232,0.0003252103278470871,1.5372095717984233,1
2010-09-17,253883406.09513104,0.0,253883406.09513104,0.0006402660509181731,1.5388340609513105,0
2010-09-21,253883406.09513104,0.0,253883406.09513104,0.0,1.5388340609513105,0
