date,ticker,type,price,shares,amount,commission,reason
2010-02-16,8905,BUY,1121.3721658935547,1700,1906809.2651895478,476.58317050476074,Entry 3 days before record date
2010-02-16,8570,BUY,556.9855942382812,3500,1949936.9422289429,487.3623949584961,Entry 3 days before record date
2010-02-17,8905,SELL,1139.3281133422852,3400,3872747.1564674284,968.4288963409424,Window filled (reached pre-ex price 1121)
2010-02-17,8570,SELL,575.0138080749512,7000,4024090.382360527,1006.2741641311645,Window filled (reached pre-ex price 557)
2010-02-23,3382,BUY,486.29344163513184,4100,1994301.5614817166,498.45077767601015,Entry 3 days before record date
2010-02-23,8267,BUY,742.0997025451661,2600,1929941.5914240864,482.364806654358,Entry 3 days before record date
2010-02-23,9983,BUY,4349.054338134766,400,1740056.64068772,434.9054338134766,Entry 3 days before record date
2010-02-24,3382,BUY,477.666873703003,2500,1194465.726053572,298.5417960643769,Add position on ex-dividend drop (1.8%)
2010-02-24,8267,BUY,722.7617180175781,1600,1156707.853515332,289.10468720703125,Add position on ex-dividend drop (2.6%)
2010-02-26,3382,SELL,492.45454443359375,10700,5267946.309533093,1317.3159063598632,Window filled (reached pre-ex price 486)
2010-03-01,9983,SELL,4363.263631835937,800,3489738.2527423827,872.6527263671875,Window filled (reached pre-ex price 4343)
2010-03-08,8267,SELL,748.7135603942871,6800,5089979.397628482,1272.8130526702882,Window filled (reached pre-ex price 741)
2010-03-16,6861,BUY,4458.378723632813,400,1783797.3273254884,445.8378723632813,Entry 3 days before record date
2010-03-17,6861,SELL,4509.350324951172,800,3606578.3898959477,901.8700649902345,Window filled (reached pre-ex price 4458)
2010-03-26,6971,BUY,832.614421661377,2400,1998774.1806403017,499.56865299682624,Entry 3 days before record date
2010-03-26,6954,BUY,1486.0429866333009,1300,1932338.846593947,482.9639706558228,Entry 3 days before record date
2010-03-26,6857,BUY,474.8605770568848,4200,1994913.0272448258,498.603605909729,Entry 3 days before record date
2010-03-26,6841,BUY,653.4213520202637,3000,1960754.1220748064,490.0660140151978,Entry 3 days before record date
2010-03-26,6724,BUY,470.19550888061525,4200,1975314.8425829087,493.705284324646,Entry 3 days before record date
2010-03-26,6753,BUY,9969.786773925782,200,1994455.8441238527,498.4893386962891,Entry 3 days before record date
2010-03-26,6503,BUY,604.1133699645997,3300,1994072.5144133996,498.39353022079473,Entry 3 days before record date
2010-03-26,6479,BUY,452.33440676879883,4400,1990768.9576301605,497.56784744567875,Entry 3 days before record date
2010-03-26,6902,BUY,480.00753764343267,4100,1968522.9120641584,492.0077260845185,Entry 3 days before record date
2010-03-26,6981,BUY,453.3521053466797,4400,1995247.950841272,498.68731588134773,Entry 3 days before record date
2010-03-26,7203,BUY,502.8163883972168,3900,1961474.1607278327,490.24597868728637,Entry 3 days before record date
2010-03-26,7267,BUY,682.5391209716797,2900,1979858.2916805756,494.8408627044678,Entry 3 days before record date
2010-03-26,7261,BUY,930.6562225952149,2100,1954866.6619668137,488.59451686248786,Entry 3 days before record date
2010-03-26,7202,BUY,320.34637701416017,6200,1986644.074372165,496.53688437194825,Entry 3 days before record date
2010-03-26,7269,BUY,426.2182342987061,4600,1961094.0287434915,490.150969443512,Entry 3 days before record date
2010-03-26,9432,BUY,23.774308917999267,84200,2002297.260098262,500.4492027238846,Entry 3 days before record date
2010-03-26,9984,BUY,1001.2818387756348,2000,2003064.3184706573,500.6409193878174,Entry 3 days before record date
2010-03-26,9613,BUY,483.5501971893311,4100,1983051.4474283764,495.63895211906436,Entry 3 days before record date
2010-03-26,3774,BUY,213.26593772125244,9300,1983869.0641128498,495.84330520191196,Entry 3 days before record date
2010-03-26,4689,BUY,279.25247985839843,7100,1983188.2801463776,495.67315174865723,Entry 3 days before record date
2010-03-26,2413,BUY,121.0294243888855,16500,1997484.7487922148,499.2463756041527,Entry 3 days before record date
2010-03-26,8306,BUY,285.4987737426758,7000,1998991.0390527803,499.62285404968264,Entry 3 days before record date
2010-03-26,8411,BUY,1006.2047394104004,1900,1912266.9521309808,477.9472512199402,Entry 3 days before record date
2010-03-26,8309,BUY,1025.6049509277345,1900,1949136.5691143863,487.1623516906739,Entry 3 days before record date
2010-03-26,8354,BUY,1250.6270371093751,1600,2001503.5101898438,500.25081484375005,Entry 3 days before record date
2010-03-26,8331,BUY,372.1821318664551,5300,1973058.4402169352,493.14132472305306,Entry 3 days before record date
2010-03-26,8359,BUY,348.7179111022949,5700,1988189.0163064017,496.92302332077026,Entry 3 days before record date
2010-03-26,4502,BUY,2243.4724731445312,800,1795226.6730102538,448.6944946289063,Entry 3 days before record date
2010-03-26,4503,BUY,439.2401793670655,4500,1977074.9523535827,494.1452017879487,Entry 3 days before record date
2010-03-26,4523,BUY,2232.719551513672,800,1786622.18512124,446.5439103027344,Entry 3 days before record date
2010-03-26,4506,BUY,696.9100713806152,2800,1951836.0369156892,487.8370499664307,Entry 3 days before record date
2010-03-26,4568,BUY,428.26995228576664,4600,1970534.290959655,492.5104451286316,Entry 3 days before record date
2010-03-26,4521,BUY,992.2067841796876,2000,1984909.6717514652,496.1033920898438,Entry 3 days before record date
2010-03-26,8058,BUY,463.7091092834473,4300,1994447.657211303,498.48729247970584,Entry 3 days before record date
2010-03-26,8001,BUY,480.2385966033936,4100,1969470.4906354323,492.24456151847846,Entry 3 days before record date
2010-03-26,8031,BUY,434.0279048919678,4600,1997027.4945936778,499.132090625763,Entry 3 days before record date
2010-03-26,8053,BUY,563.3277348022461,3500,1972139.9835758135,492.9117679519654,Entry 3 days before record date
2010-03-26,8002,BUY,322.1066734161377,6200,1997560.6405238488,499.26534379501345,Entry 3 days before record date
