date,ticker,type,price,shares,amount,commission,reason
2023-03-29,7203,BUY,1861.2599999999998,500,931179.9999999999,550.0,Entry 3 days before record date
2023-03-29,6758,BUY,2310.495,400,924748.0,550.0,Entry 3 days before record date
2023-03-29,9432,BUY,162.68940490722653,6100,992955.3699340818,550.0,Entry 3 days before record date
2023-03-30,7203,BUY,1845.684,500,923392.0,550.0,Add position on ex-dividend drop (0.5%)
2023-03-30,6758,SELL,2335.265,800,1867184.4834,1027.5166000000002,Window filled (reached pre-ex price 2310)
2023-03-30,9432,BUY,159.35807327270507,6200,988570.0542907715,550.0,Add position on ex-dividend drop (1.8%)
2023-03-31,7203,SELL,1870.6,1500,2804800.0,1100.0,Window filled (reached pre-ex price 1852)
2023-04-18,9432,SELL,161.676,18400,2973738.4,1100.0,Window filled (reached pre-ex price 162)
2023-09-27,7203,BUY,2761.74,300,829071.9999999999,550.0,Entry 3 days before record date
2023-09-27,6758,BUY,2493.4049999999997,400,997911.9999999999,550.0,Entry 3 days before record date
2023-09-27,9432,BUY,184.1159969329834,5400,994776.3834381104,550.0,Entry 3 days before record date
2023-09-28,7203,BUY,2711.412,300,813973.6,550.0,Add position on ex-dividend drop (1.5%)
2023-09-28,6758,BUY,2449.89,400,980506.0,550.0,Add position on ex-dividend drop (1.5%)
2023-09-28,9432,BUY,179.45820611572265,5500,987570.1336364746,550.0,Add position on ex-dividend drop (2.2%)
2023-10-10,6758,SELL,2515.958,1200,3018049.6,1100.0,Window filled (reached pre-ex price 2481)
2023-10-26,7203,SELL,2589.311,900,2329279.9,1100.0,Max holding period reached (20 days)
2023-10-26,9432,SELL,173.153,16300,2821293.9,1100.0,Max holding period reached (20 days)
