date,ticker,type,price,shares,amount,commission,reason
2019-03-26,7203,BUY,1130.4011224365233,800,904773.0583981932,452.1604489746093,Entry 3 days before record date
2019-03-26,6758,BUY,922.9574357910155,1000,923418.914508911,461.47871789550777,Entry 3 days before record date
2019-03-26,9432,BUY,78.04185396575927,12800,999435.1986270995,499.46786538085934,Entry 3 days before record date
2019-03-26,8306,BUY,430.4300916442871,2300,990484.2053872512,494.99460539093013,Entry 3 days before record date
2019-03-26,4063,BUY,1645.9105015869138,600,988040.0741026243,493.77315047607414,Entry 3 days before record date
2019-03-26,9984,BUY,5075.595916015624,100,507813.37139736325,253.77979580078124,Entry 3 days before record date
2019-03-26,6098,BUY,3003.275421630859,300,901433.1178025024,450.4913132446288,Entry 3 days before record date
2019-03-26,7974,BUY,2641.999711914062,300,792996.2135310058,396.29995678710935,Entry 3 days before record date
2019-03-27,6758,SELL,928.9094551391602,2000,1856890.0008231811,928.9094551391602,Window filled (reached pre-ex price 923)
2019-03-27,9432,SELL,78.0002526626587,25600,1995808.0649299806,998.4032340820313,Window filled (reached pre-ex price 78)
2019-03-27,8306,SELL,432.3086526489258,4600,1987625.4922839662,994.3099010925293,Window filled (reached pre-ex price 430)
2019-03-27,4063,SELL,1662.8437924804687,1200,1994414.844701074,997.7062754882812,Window filled (reached pre-ex price 1646)
2019-03-27,6098,SELL,3025.8851484375,600,1814623.3235179689,907.76554453125,Window filled (reached pre-ex price 3003)
2019-03-27,7974,SELL,2646.8234274902343,600,1587300.0094658935,794.0470282470703,Window filled (reached pre-ex price 2642)
2019-03-29,9984,SELL,5138.139919921875,200,1027114.1699923829,513.8139919921875,Window filled (reached pre-ex price 5071)
2019-04-01,7203,SELL,1130.8697072753905,1600,1808486.8358748045,904.6957658203124,Window filled (reached pre-ex price 1129)
2019-09-26,7203,BUY,1268.2216666259765,700,888199.0442215026,443.8775833190918,Entry 3 days before record date
2019-09-26,9432,BUY,88.15504543304442,11300,996650.0894000987,498.07600669670103,Entry 3 days before record date
2019-09-26,8306,BUY,444.620873474121,2200,978655.0046038878,489.0829608215331,Entry 3 days before record date
2019-09-26,9433,BUY,1209.41438293457,800,968015.2721008299,483.76575317382805,Entry 3 days before record date
2019-09-26,4063,BUY,2119.4747792968747,400,848213.8066746093,423.894955859375,Entry 3 days before record date
2019-09-26,9984,BUY,4255.777404785155,200,851581.0586975096,425.5777404785155,Entry 3 days before record date
2019-09-26,6098,BUY,3179.6532834472655,300,954372.9330266968,476.94799251708986,Entry 3 days before record date
2019-09-26,7974,BUY,3429.8751791992186,200,686318.0233577637,342.98751791992186,Entry 3 days before record date
2019-09-27,7203,SELL,1273.1166002197265,1400,1781472.0586874632,891.1816201538085,Window filled (reached pre-ex price 1268)
2019-09-27,9432,BUY,87.15555756378173,11400,994070.1429052252,496.78667811355587,Add position on ex-dividend drop (1.1%)
2019-09-27,8306,BUY,444.22005191040034,2200,977772.7562599822,488.6420571014404,Add position on ex-dividend drop (0.1%)
2019-09-27,4063,SELL,2127.8846337890627,800,1701456.5531777346,851.1538535156251,Window filled (reached pre-ex price 2119)
2019-09-27,9984,BUY,4193.178735839843,200,839055.0650415526,419.31787358398435,Add position on ex-dividend drop (1.5%)
2019-09-27,6098,BUY,3164.032942382812,300,949684.487656201,474.6049413574218,Add position on ex-dividend drop (0.5%)
2019-09-27,7974,BUY,3429.026186523437,200,686148.1399233397,342.9026186523437,Add position on ex-dividend drop (0.0%)
2019-09-30,6098,SELL,3201.555249755859,900,2879959.024917883,1440.6998623901366,Window filled (reached pre-ex price 3176)
2019-10-01,7974,SELL,3467.940209472656,600,2079723.7436207517,1040.3820628417968,Window filled (reached pre-ex price 3426)
2019-10-02,9433,SELL,1238.9840189208985,1600,1981383.2430583008,991.1872151367188,Window filled (reached pre-ex price 1208)
2019-10-08,9432,SELL,90.0736697845459,34000,3060973.5202882234,1531.2523863372803,Window filled (reached pre-ex price 88)
2019-10-21,8306,SELL,444.292597869873,6600,2930864.9803681914,1466.165572970581,Window filled (reached pre-ex price 444)
2019-10-28,9984,SELL,3840.7123278808594,600,2303275.1830301513,1152.2136983642579,Max holding period reached (20 days)
2020-03-27,7203,BUY,1216.8071442871092,800,973932.4382874022,486.72285771484366,Entry 3 days before record date
2020-03-27,6758,BUY,1306.1234221191405,700,914743.53868114,457.14319774169917,Entry 3 days before record date
2020-03-27,9432,BUY,89.95412970733642,11100,998990.08517131,499.2454198757172,Entry 3 days before record date
2020-03-27,8306,BUY,360.76344869995114,2700,974548.342145613,487.03065574493405,Entry 3 days before record date
2020-03-27,9433,BUY,1416.5727503662108,700,992096.7257189756,495.80046262817376,Entry 3 days before record date
2020-03-27,4063,BUY,1964.7225253906247,500,982852.4433266601,491.1806313476562,Entry 3 days before record date
2020-03-27,9984,BUY,3743.427676269531,200,749059.8780215331,374.3427676269531,Entry 3 days before record date
2020-03-27,6098,BUY,2989.2843937988278,300,897233.7107987182,448.39265906982416,Entry 3 days before record date
2020-03-27,7974,BUY,3430.724660644531,200,686488.0045949707,343.0724660644531,Entry 3 days before record date
2020-03-30,7203,BUY,1197.0817501220702,800,958144.232797705,478.8327000488281,Add position on ex-dividend drop (1.6%)
2020-03-30,6758,BUY,1261.2333620605468,700,883304.785119104,441.43167672119137,Add position on ex-dividend drop (3.4%)
2020-03-30,9432,SELL,91.88972300720215,22200,2038931.874834508,1019.975925379944,Window filled (reached pre-ex price 90)
2020-03-30,8306,BUY,351.3629443054199,2700,949154.289599446,474.3399748123168,Add position on ex-dividend drop (2.6%)
2020-03-30,9433,BUY,1388.0425396728515,700,972115.5926598816,485.8148888854981,Add position on ex-dividend drop (2.0%)
2020-03-30,4063,BUY,1962.8941607666013,500,981937.8039234923,490.72354019165033,Add position on ex-dividend drop (0.1%)
2020-03-30,9984,BUY,3576.8374243164058,200,715725.1686057128,357.68374243164055,Add position on ex-dividend drop (4.5%)
2020-03-30,6098,BUY,2887.744478759765,300,866756.5052997435,433.1616718139648,Add position on ex-dividend drop (3.4%)
2020-03-30,7974,SELL,3540.652336669922,400,1415552.8042006348,708.1304673339845,Window filled (reached pre-ex price 3431)
2020-04-01,6098,SELL,2503.063522705078,900,2251630.791849353,1126.378585217285,Stop loss triggered (-15.2%)
