ticker,status,entry_date,entry_price,total_shares,average_price,exit_date,exit_price,exit_reason,realized_pnl,dividend_received,total_commission,trade_count
6758,CLOSED,2023-03-29,2310.495,0,2311.1825,2023-03-30,2335.265,Window filled (reached pre-ex price 2310),16660.966800000053,0.0,1577.5166000000002,2
7203,CLOSED,2023-03-29,1861.2599999999998,0,1856.8013333333333,2023-03-31,1870.6,Window filled (reached pre-ex price 1852),17398.0,0.0,2200.0,3
9432,CLOSED,2023-03-29,162.68940490722653,0,161.62667359559427,2023-04-18,161.676,Window filled (reached pre-ex price 162),-2392.3941589347087,0.0,2200.0,3
6758,CLOSED,2023-09-27,2493.4049999999997,0,2479.8166666666666,2023-10-10,2515.958,Window filled (reached pre-ex price 2481),40069.60000000009,0.0,2200.0,3
7203,CLOSED,2023-09-27,2761.74,0,2746.1862222222217,2023-10-26,2589.311,Max holding period reached (20 days),-144487.69999999972,0.0,2200.0,3
9432,CLOSED,2023-09-27,184.1159969329834,0,182.61183438728193,2023-10-26,173.153,Max holding period reached (20 days),-157479.0005126954,0.0,2200.0,3
